**TRAINING STARTED**
Read uni files, total data (1100, 64, 64, 1)
Split into 990 training and 110 validation samples
Starting training...
Epoch 1399/10000: cost 65.410309 , validation cost 865.331238 
Epoch 1409/10000: cost 46.074848 , validation cost 864.443970 
Epoch 1419/10000: cost 47.690125 , validation cost 866.999573 
Epoch 1429/10000: cost 53.869667 , validation cost 864.672546 
Epoch 1439/10000: cost 46.105179 , validation cost 860.369934 
Epoch 1449/10000: cost 55.169548 , validation cost 875.327759 
Epoch 1459/10000: cost 48.651443 , validation cost 869.287537 
Epoch 1469/10000: cost 54.921249 , validation cost 864.546143 
Epoch 1479/10000: cost 27.951559 , validation cost 857.742371 
Epoch 1489/10000: cost 45.378822 , validation cost 861.017090 
Epoch 1499/10000: cost 44.586693 , validation cost 855.764404 
Epoch 1509/10000: cost 48.665886 , validation cost 865.488770 
Epoch 1519/10000: cost 54.758339 , validation cost 875.216248 
Epoch 1529/10000: cost 54.896568 , validation cost 857.816956 
Epoch 1539/10000: cost 59.060268 , validation cost 860.569641 
Epoch 1549/10000: cost 52.436779 , validation cost 864.984314 
Epoch 1559/10000: cost 44.520382 , validation cost 873.933838 
Epoch 1569/10000: cost 46.947266 , validation cost 867.982422 
Epoch 1579/10000: cost 48.078957 , validation cost 872.328674 
Epoch 1589/10000: cost 40.524948 , validation cost 874.847656 
Epoch 1599/10000: cost 50.879684 , validation cost 866.129028 
Epoch 1609/10000: cost 76.902214 , validation cost 876.246338 
Epoch 1619/10000: cost 64.974503 , validation cost 878.701416 
Epoch 1629/10000: cost 50.538261 , validation cost 873.945801 
Epoch 1639/10000: cost 50.577965 , validation cost 865.081787 
Epoch 1649/10000: cost 51.532970 , validation cost 871.716858 
Epoch 1659/10000: cost 46.232883 , validation cost 862.859009 
Epoch 1669/10000: cost 42.203331 , validation cost 875.658447 
Epoch 1679/10000: cost 46.506432 , validation cost 877.141541 
Epoch 1689/10000: cost 45.135742 , validation cost 866.388428 
Epoch 1699/10000: cost 52.935192 , validation cost 873.911499 
Epoch 1709/10000: cost 41.654434 , validation cost 877.363281 
Epoch 1719/10000: cost 44.650059 , validation cost 864.252747 
Epoch 1729/10000: cost 31.630562 , validation cost 866.309082 
Epoch 1739/10000: cost 35.307697 , validation cost 872.382568 
Epoch 1749/10000: cost 48.251945 , validation cost 863.525452 
Epoch 1759/10000: cost 42.979782 , validation cost 871.582214 
Epoch 1769/10000: cost 50.278954 , validation cost 862.733337 
Epoch 1779/10000: cost 34.858242 , validation cost 868.659180 
Epoch 1789/10000: cost 46.507519 , validation cost 874.524597 
Epoch 1799/10000: cost 42.071457 , validation cost 873.369873 
Epoch 1809/10000: cost 31.235113 , validation cost 869.615784 
Epoch 1819/10000: cost 40.326668 , validation cost 862.850525 
Epoch 1829/10000: cost 43.471363 , validation cost 861.489746 
Epoch 1839/10000: cost 47.268608 , validation cost 864.890991 
Epoch 1849/10000: cost 45.182095 , validation cost 868.004944 
Epoch 1859/10000: cost 39.379189 , validation cost 875.732300 
Epoch 1869/10000: cost 39.932045 , validation cost 876.370605 
Epoch 1879/10000: cost 58.852871 , validation cost 867.227051 
Epoch 1889/10000: cost 41.000942 , validation cost 871.378174 
Epoch 1899/10000: cost 40.711143 , validation cost 861.114441 
Epoch 1909/10000: cost 67.304825 , validation cost 860.369934 
Epoch 1919/10000: cost 50.144333 , validation cost 863.179504 
Epoch 1929/10000: cost 47.130310 , validation cost 863.423096 
Epoch 1939/10000: cost 39.390617 , validation cost 868.194519 
Epoch 1949/10000: cost 48.913368 , validation cost 862.006470 
Epoch 1959/10000: cost 30.766407 , validation cost 862.492065 
Epoch 1969/10000: cost 45.916817 , validation cost 859.700439 
Epoch 1979/10000: cost 36.454491 , validation cost 854.703247 
